Subjects,Triples,Kafka_in,Kafka_out,End_time
2,4,1707153566209,1707153566214.9087,1707153566555.6775
5,10,1707153576296,1707153576298.8257,1707153576561.101
10,20,1707153586398,1707153586402.9678,1707153586524.7617
50,100,1707153596465,1707153596469.3074,1707153596902.2212
100,200,1707153606568,1707153606580.0378,1707153607151.4905
200,400,1707153616679,1707153616690.112,1707153617765.6873
500,1000,1707153626798,1707153626812.944,1707153629093.129
1,2,1707153636895,1707153636898.673,1707153636916.2683
2,4,1707153646990,1707153646993.4688,1707153647108.872
5,10,1707153657078,1707153657082.5671,1707153657120.1252
10,20,1707153667169,1707153667172.0369,1707153667220.506
50,100,1707153677267,1707153677272.1128,1707153677513.4116
100,200,1707153687369,1707153687374.5342,1707153687789.5088
200,400,1707153697473,1707153697480.2996,1707153698686.0024
500,1000,1707153707587,1707153707601.0046,1707153710155.0168
1,2,1707153717701,1707153717703.2747,1707153717718.2026
2,4,1707153727771,1707153727776.1843,1707153727801.3186
5,10,1707153737869,1707153737873.6929,1707153737898.4077
10,20,1707153747969,1707153747971.7976,1707153748006.9602
50,100,1707153758073,1707153758076.7449,1707153758238.5566
100,200,1707153768146,1707153768151.3855,1707153768789.7864
200,400,1707153778248,1707153778256.3762,1707153778808.1792
500,1000,1707153788365,1707153788379.084,1707153790214.7317
1,2,1707153798450,1707153798452.1365,1707153798464.9263
2,4,1707153808522,1707153808524.112,1707153808537.1262
5,10,1707153818617,1707153818619.731,1707153818640.298
10,20,1707153828720,1707153828723.0264,1707153828750.3262
50,100,1707153838819,1707153838822.635,1707153838952.5205
100,200,1707153848898,1707153848903.995,1707153849533.5247
200,400,1707153859008,1707153859015.905,1707153859541.0525
500,1000,1707153869122,1707153869135.6523,1707153870879.9717
1,2,1707153879220,1707153879222.3787,1707153879236.09
2,4,1707153889312,1707153889314.7117,1707153889322.7366
5,10,1707153899411,1707153899413.0142,1707153899429.6929
10,20,1707153909509,1707153909512.1936,1707153909540.5205
50,100,1707153919601,1707153919604.4407,1707153919719.2268
100,200,1707153929701,1707153929706.1216,1707153929942.9485
200,400,1707153939806,1707153939813.2727,1707153940382.7402
500,1000,1707153949893,1707153949912.5498,1707153951988.4912
1,2,1707153960004,1707153960006.1902,1707153960014.1538
2,4,1707153970088,1707153970091.506,1707153970101.292
5,10,1707153980158,1707153980159.968,1707153980175.6353
10,20,1707153990250,1707153990252.3774,1707153990291.6206
50,100,1707154000342,1707154000346.3428,1707154000456.659
100,200,1707154010440,1707154010445.525,1707154010718.66
200,400,1707154020526,1707154020536.9111,1707154021497.8975
500,1000,1707154030638,1707154030653.38,1707154032389.9211
1,2,1707154040726,1707154040730.0542,1707154040742.9272
2,4,1707154050800,1707154050803.086,1707154050816.9558
5,10,1707154060901,1707154060903.601,1707154060918.8806
10,20,1707154071068,1707154071072.0566,1707154071129.1545
50,100,1707154081117,1707154081120.9675,1707154081234.8354
100,200,1707154091162,1707154091166.631,1707154091419.671
200,400,1707154101220,1707154101227.1174,1707154102100.8337
500,1000,1707154111285,1707154111306.3374,1707154113097.3833
1,2,1707154121398,1707154121400.766,1707154121405.9304
2,4,1707154131495,1707154131497.4229,1707154131504.6492
5,10,1707154141584,1707154141586.2388,1707154141601.5198
10,20,1707154151673,1707154151676.167,1707154151702.5405
50,100,1707154161773,1707154161778.5732,1707154161893.389
100,200,1707154171878,1707154171883.3765,1707154172388.3655
200,400,1707154181997,1707154182005.3533,1707154182551.6887
500,1000,1707154192113,1707154192127.4048,1707154193566.447
1,2,1707154202214,1707154202215.811,1707154202226.4739
2,4,1707154212308,1707154212310.1108,1707154212422.218
5,10,1707154222409,1707154222411.8748,1707154222516.3984
10,20,1707154232506,1707154232508.4785,1707154232536.2695
50,100,1707154242571,1707154242574.1516,1707154242706.7354
100,200,1707154252664,1707154252668.8325,1707154252891.341
200,400,1707154262766,1707154262774.1833,1707154263345.4258
500,1000,1707154272889,1707154272905.1174,1707154275412.9756
1,2,1707154283002,1707154283004.8894,1707154283016.8088
2,4,1707154293099,1707154293102.1516,1707154293112.5884
5,10,1707154303168,1707154303169.7793,1707154303186.5823
10,20,1707154313263,1707154313265.8193,1707154313290.3472
50,100,1707154323352,1707154323355.9504,1707154323456.9204
100,200,1707154333445,1707154333449.923,1707154333669.458
200,400,1707154343541,1707154343548.6353,1707154344016.5938
500,1000,1707154353654,1707154353668.4402,1707154355352.6206
1,2,1707154363761,1707154363763.465,1707154363774.1218
2,4,1707154373832,1707154373833.9016,1707154373842.5002
5,10,1707154383930,1707154383932.8157,1707154383947.9138
10,20,1707154394028,1707154394030.6533,1707154394054.784
50,100,1707154404115,1707154404118.899,1707154404263.77
100,200,1707154414216,1707154414221.3596,1707154414445.3438
200,400,1707154424315,1707154424322.9849,1707154424781.5
500,1000,1707154434429,1707154434443.624,1707154435948.7322
1,2,1707154444541,1707154444543.6453,1707154444554.8909
2,4,1707154454641,1707154454643.1946,1707154454650.6296
5,10,1707154464722,1707154464724.8289,1707154464742.4224
10,20,1707154474807,1707154474809.887,1707154474835.4495
50,100,1707154484898,1707154484902.126,1707154485006.3596
100,200,1707154495002,1707154495007.8992,1707154495278.3723
200,400,1707154505105,1707154505112.6626,1707154505642.6462
500,1000,1707154515220,1707154515233.782,1707154516966.6406
1,2,1707154525330,1707154525332.5283,1707154525343.3718
2,4,1707154535431,1707154535432.6372,1707154535439.6592
