Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
1,2,1,1755170302276,1755170302294.7131,1755170302298.458
1,2,1,1755170303287,1755170303294.003,1755170303295.372
1,2,1,1755170304297,1755170304299.1401,1755170304299.4612
1,2,1,1755170305305,1755170305310.414,1755170305311.5981
1,2,1,1755170306314,1755170306320.031,1755170306321.346
1,2,1,1755170307320,1755170307326.137,1755170307327.163
1,2,1,1755170308327,1755170308338.346,1755170308338.68
1,2,1,1755170309344,1755170309350.046,1755170309350.932
1,2,1,1755170310351,1755170310354.763,1755170310355.4539
1,2,1,1755170311359,1755170311364.29,1755170311365.555
1,2,1,1755170312369,1755170312373.3672,1755170312374.4253
1,2,1,1755170313378,1755170313381.519,1755170313381.986
1,2,1,1755170314386,1755170314389.9688,1755170314390.518
1,2,1,1755170315395,1755170315400.665,1755170315401.779
1,2,1,1755170316405,1755170316409.9277,1755170316410.914
1,2,1,1755170317414,1755170317419.368,1755170317420.392
1,2,1,1755170318423,1755170318426.275,1755170318426.92
1,2,1,1755170319431,1755170319436.306,1755170319437.543
1,2,1,1755170320439,1755170320444.673,1755170320446.054
1,2,1,1755170321448,1755170321450.4211,1755170321451.0889
1,2,1,1755170322454,1755170322459.515,1755170322461.0032
1,2,1,1755170323464,1755170323467.818,1755170323468.266
1,2,1,1755170324473,1755170324479.079,1755170324480.164
1,2,1,1755170325482,1755170325489.043,1755170325490.3948
1,2,1,1755170326492,1755170326497.299,1755170326498.103
1,2,1,1755170327499,1755170327502.6719,1755170327503.605
1,2,1,1755170328505,1755170328511.2021,1755170328511.801
1,2,1,1755170329516,1755170329521.3362,1755170329522.3857
1,2,1,1755170330526,1755170330529.039,1755170330530.3062
1,2,1,1755170331530,1755170331534.821,1755170331535.769
1,2,1,1755170332540,1755170332542.962,1755170332543.942
1,2,1,1755170333546,1755170333549.603,1755170333550.472
1,2,1,1755170334554,1755170334557.455,1755170334558.426
1,2,1,1755170335560,1755170335566.8162,1755170335568.1182
1,2,1,1755170336569,1755170336574.378,1755170336575.2803
1,2,1,1755170337579,1755170337584.9321,1755170337586.0159
1,2,1,1755170338588,1755170338591.505,1755170338592.4
1,2,1,1755170339596,1755170339600.12,1755170339600.951
1,2,1,1755170340600,1755170340602.592,1755170340602.94
1,2,1,1755170341608,1755170341612.7888,1755170341613.717
1,2,1,1755170342612,1755170342616.738,1755170342617.2139
1,2,1,1755170343620,1755170343623.819,1755170343624.351
1,2,1,1755170344629,1755170344635.107,1755170344636.3298
1,2,1,1755170345640,1755170345645.902,1755170345647.552
1,2,1,1755170346651,1755170346656.2402,1755170346657.234
1,2,1,1755170347658,1755170347663.6748,1755170347664.59
1,2,1,1755170348668,1755170348674.3623,1755170348675.737
1,2,1,1755170349679,1755170349684.985,1755170349685.9697
1,2,1,1755170350689,1755170350692.906,1755170350693.897
1,2,1,1755170351698,1755170351702.477,1755170351703.564
1,2,1,1755170352706,1755170352712.9338,1755170352714.481
1,2,1,1755170353716,1755170353720.366,1755170353721.2522
1,2,1,1755170354725,1755170354732.882,1755170354734.371
1,2,1,1755170355733,1755170355736.7292,1755170355737.355
1,2,1,1755170356741,1755170356744.315,1755170356744.813
1,2,1,1755170357749,1755170357754.684,1755170357755.663
1,2,1,1755170358760,1755170358766.428,1755170358767.573
1,2,1,1755170359768,1755170359772.038,1755170359772.7202
1,2,1,1755170360776,1755170360780.964,1755170360781.974
1,2,1,1755170361786,1755170361792.579,1755170361794.173
1,2,2,1755170369191,1755170369196.602,1755170369200.1282
1,2,2,1755170369700,1755170369703.289,1755170369704.0232
1,2,2,1755170370203,1755170370207.237,1755170370207.9822
1,2,2,1755170370712,1755170370716.659,1755170370717.8582
1,2,2,1755170371221,1755170371227.8088,1755170371229.074
1,2,2,1755170371734,1755170371739.729,1755170371741.087
1,2,2,1755170372245,1755170372250.3093,1755170372251.3962
1,2,2,1755170372751,1755170372756.0862,1755170372757.18
1,2,2,1755170373261,1755170373267.488,1755170373268.6912
1,2,2,1755170373771,1755170373774.094,1755170373774.761
1,2,2,1755170374278,1755170374283.8088,1755170374284.862
1,2,2,1755170374785,1755170374790.498,1755170374791.512
1,2,2,1755170375294,1755170375297.4292,1755170375297.7852
1,2,2,1755170375800,1755170375804.7231,1755170375805.808
1,2,2,1755170376309,1755170376312.4949,1755170376313.49
1,2,2,1755170376817,1755170376821.6472,1755170376822.743
1,2,2,1755170377326,1755170377331.09,1755170377332.4248
1,2,2,1755170377832,1755170377836.5881,1755170377837.561
1,2,2,1755170378342,1755170378347.6912,1755170378349.122
1,2,2,1755170378848,1755170378853.66,1755170378855.019
1,2,2,1755170379356,1755170379359.0132,1755170379359.761
1,2,2,1755170379860,1755170379866.096,1755170379867.5872
1,2,2,1755170380369,1755170380373.3452,1755170380373.833
1,2,2,1755170380878,1755170380883.418,1755170380884.5762
1,2,2,1755170381387,1755170381391.494,1755170381392.376
1,2,2,1755170381893,1755170381897.195,1755170381898.154
1,2,2,1755170382402,1755170382408.416,1755170382410.141
1,2,2,1755170382912,1755170382918.341,1755170382919.7559
1,2,2,1755170383423,1755170383428.7368,1755170383429.863
1,2,2,1755170383932,1755170383937.307,1755170383938.8008
1,2,2,1755170384443,1755170384448.855,1755170384450.3748
1,2,2,1755170384954,1755170384961.246,1755170384962.7368
1,2,2,1755170385466,1755170385471.305,1755170385472.296
1,2,2,1755170385972,1755170385982.355,1755170385983.629
1,2,2,1755170386486,1755170386491.83,1755170386493.3472
1,2,2,1755170386995,1755170386998.1948,1755170386998.921
1,2,2,1755170387502,1755170387505.6519,1755170387505.998
1,2,2,1755170388011,1755170388016.042,1755170388017.113
1,2,2,1755170388520,1755170388526.788,1755170388528.048
1,2,2,1755170389027,1755170389032.938,1755170389034.091
1,2,2,1755170389537,1755170389541.575,1755170389543.3018
1,2,2,1755170390043,1755170390049.111,1755170390050.081
1,2,2,1755170390553,1755170390557.6511,1755170390558.6838
1,2,2,1755170391058,1755170391062.762,1755170391063.553
1,2,2,1755170391567,1755170391572.9448,1755170391574.218
1,2,2,1755170392076,1755170392082.144,1755170392083.189
1,2,2,1755170392587,1755170392593.479,1755170392594.837
1,2,2,1755170393098,1755170393103.5562,1755170393105.197
1,2,2,1755170393608,1755170393614.238,1755170393615.1528
1,2,2,1755170394117,1755170394122.0422,1755170394123.323
1,2,2,1755170394626,1755170394632.286,1755170394633.897
1,2,2,1755170395135,1755170395139.7969,1755170395140.929
1,2,2,1755170395642,1755170395646.106,1755170395646.85
1,2,2,1755170396151,1755170396157.269,1755170396158.94
1,2,2,1755170396661,1755170396665.7478,1755170396666.6912
1,2,2,1755170397168,1755170397173.386,1755170397175.083
1,2,2,1755170397674,1755170397678.0159,1755170397678.715
1,2,2,1755170398178,1755170398181.3938,1755170398181.8691
1,2,2,1755170398686,1755170398689.831,1755170398690.659
1,2,2,1755170399195,1755170399197.925,1755170399198.5789
1,2,2,1755170399701,1755170399705.3718,1755170399706.463
1,2,2,1755170400207,1755170400214.1829,1755170400215.219
1,2,2,1755170400718,1755170400723.3438,1755170400724.6343
1,2,2,1755170401226,1755170401231.586,1755170401232.9731
1,2,2,1755170401735,1755170401739.158,1755170401739.9521
1,2,2,1755170402243,1755170402248.576,1755170402250.039
1,2,2,1755170402753,1755170402759.253,1755170402760.506
1,2,2,1755170403264,1755170403266.9949,1755170403267.761
1,2,2,1755170403772,1755170403778.343,1755170403779.4011
1,2,2,1755170404279,1755170404285.646,1755170404286.789
1,2,2,1755170404790,1755170404796.284,1755170404797.9
1,2,2,1755170405300,1755170405304.106,1755170405304.6401
1,2,2,1755170405808,1755170405813.923,1755170405815.1511
1,2,2,1755170406321,1755170406326.5322,1755170406327.432
1,2,2,1755170406832,1755170406837.7432,1755170406838.777
1,2,2,1755170407342,1755170407348.135,1755170407349.2942
1,2,2,1755170407849,1755170407853.3162,1755170407854.332
1,2,2,1755170408359,1755170408365.119,1755170408366.7278
1,2,2,1755170408866,1755170408872.1228,1755170408873.548
1,2,2,1755170409376,1755170409378.4421,1755170409379.596
1,2,2,1755170409884,1755170409887.124,1755170409887.758
1,2,2,1755170410389,1755170410393.7202,1755170410394.202
1,2,2,1755170410899,1755170410902.57,1755170410903.604
1,2,2,1755170411407,1755170411411.9182,1755170411412.7651
1,2,2,1755170411917,1755170411921.634,1755170411922.539
1,2,2,1755170412427,1755170412431.8762,1755170412433.326
1,2,2,1755170412935,1755170412940.136,1755170412941.246
1,2,2,1755170413444,1755170413447.7273,1755170413448.425
1,2,2,1755170413951,1755170413955.1558,1755170413955.997
1,2,2,1755170414459,1755170414464.808,1755170414465.86
1,2,2,1755170414967,1755170414970.757,1755170414971.4182
1,2,2,1755170415472,1755170415478.36,1755170415479.429
1,2,2,1755170415980,1755170415986.203,1755170415987.2231
1,2,2,1755170416490,1755170416495.772,1755170416497.164
1,2,2,1755170417001,1755170417007.2917,1755170417008.607
1,2,2,1755170417509,1755170417513.575,1755170417514.401
1,2,2,1755170418018,1755170418028.419,1755170418029.3398
1,2,2,1755170418534,1755170418539.542,1755170418540.67
1,2,2,1755170419041,1755170419045.6208,1755170419046.459
1,2,2,1755170419547,1755170419553.6409,1755170419554.801
1,2,2,1755170420059,1755170420064.9978,1755170420066.139
1,2,2,1755170420570,1755170420572.69,1755170420573.3691
1,2,2,1755170421075,1755170421080.7512,1755170421081.7659
1,2,2,1755170421582,1755170421586.939,1755170421587.737
1,2,2,1755170422092,1755170422095.9539,1755170422096.8242
1,2,2,1755170422600,1755170422605.124,1755170422606.124
1,2,2,1755170423107,1755170423110.58,1755170423111.239
