Subjects,Triples,mps,Kafka_in,Kafka_out,End_time
1,2,1,1755174444356,1755174444388.412,1755174444393.558
1,2,1,1755174445367,1755174445371.432,1755174445372.177
1,2,1,1755174446377,1755174446381.263,1755174446382.1462
1,2,1,1755174447385,1755174447392.6777,1755174447394.311
1,2,1,1755174448395,1755174448400.7612,1755174448401.8628
1,2,1,1755174449406,1755174449412.147,1755174449413.389
1,2,1,1755174450417,1755174450420.841,1755174450421.4639
1,2,1,1755174451426,1755174451432.5493,1755174451434.104
1,2,1,1755174452437,1755174452441.813,1755174452442.917
1,2,1,1755174453446,1755174453475.033,1755174453475.847
1,2,1,1755174454480,1755174454485.082,1755174454486.1729
1,2,1,1755174455488,1755174455491.9622,1755174455492.3398
1,2,1,1755174456497,1755174456501.427,1755174456502.264
1,2,1,1755174457504,1755174457511.632,1755174457513.08
1,2,1,1755174458512,1755174458518.079,1755174458519.5032
1,2,1,1755174459521,1755174459527.4702,1755174459529.249
1,2,1,1755174460528,1755174460531.563,1755174460532.017
1,2,1,1755174461537,1755174461542.577,1755174461543.7751
1,2,1,1755174462546,1755174462552.4758,1755174462553.8982
1,2,1,1755174463553,1755174463559.8591,1755174463561.3499
1,2,1,1755174464562,1755174464566.4958,1755174464567.301
1,2,1,1755174465566,1755174465569.0251,1755174465569.6902
1,2,1,1755174466571,1755174466576.9229,1755174466578.47
1,2,1,1755174467579,1755174467585.0889,1755174467586.493
1,2,1,1755174468586,1755174468591.716,1755174468592.7732
1,2,1,1755174469596,1755174469599.262,1755174469599.8972
1,2,1,1755174470604,1755174470607.9941,1755174470608.644
1,2,1,1755174471614,1755174471618.435,1755174471619.3071
1,2,1,1755174472621,1755174472626.7278,1755174472627.96
1,2,1,1755174473630,1755174473636.089,1755174473637.428
1,2,1,1755174474641,1755174474648.2407,1755174474649.636
1,2,1,1755174475649,1755174475652.9282,1755174475653.551
1,2,1,1755174476657,1755174476664.3828,1755174476665.906
1,2,1,1755174477669,1755174477675.3909,1755174477676.8398
1,2,1,1755174478680,1755174478686.4907,1755174478687.8618
1,2,1,1755174479691,1755174479696.116,1755174479697.3271
1,2,1,1755174480697,1755174480700.491,1755174480701.1199
1,2,1,1755174481706,1755174481712.305,1755174481713.7432
1,2,1,1755174482714,1755174482719.689,1755174482720.795
1,2,1,1755174483721,1755174483727.9119,1755174483728.983
1,2,1,1755174484728,1755174484732.384,1755174484733.073
1,2,1,1755174485734,1755174485739.913,1755174485741.3481
1,2,1,1755174486741,1755174486746.83,1755174486748.111
1,2,1,1755174487752,1755174487757.966,1755174487759.015
1,2,1,1755174488761,1755174488764.5571,1755174488765.332
1,2,1,1755174489770,1755174489775.505,1755174489776.9622
1,2,1,1755174490779,1755174490785.323,1755174490786.782
1,2,1,1755174491790,1755174491793.288,1755174491793.918
1,2,1,1755174492798,1755174492803.893,1755174492805.04
1,2,1,1755174493808,1755174493815.016,1755174493816.4138
1,2,1,1755174494816,1755174494821.966,1755174494823.209
1,2,1,1755174495827,1755174495833.496,1755174495834.9177
1,2,1,1755174496837,1755174496843.102,1755174496844.564
1,2,1,1755174497846,1755174497853.195,1755174497854.412
1,2,1,1755174498854,1755174498859.453,1755174498860.4858
1,2,1,1755174499861,1755174499867.271,1755174499868.9128
1,2,1,1755174500872,1755174500878.979,1755174500880.393
1,2,1,1755174501880,1755174501887.033,1755174501888.4458
1,2,1,1755174502887,1755174502889.975,1755174502890.6182
1,2,1,1755174503895,1755174503899.992,1755174503900.861
1,2,2,1755174510203,1755174510208.488,1755174510208.996
1,2,2,1755174510714,1755174510719.011,1755174510720.132
1,2,2,1755174511223,1755174511226.771,1755174511227.438
1,2,2,1755174511732,1755174511738.536,1755174511740.0598
1,2,2,1755174512244,1755174512250.1472,1755174512251.602
1,2,2,1755174512753,1755174512757.444,1755174512758.4739
1,2,2,1755174513263,1755174513268.914,1755174513270.419
1,2,2,1755174513773,1755174513776.0,1755174513776.742
1,2,2,1755174514280,1755174514284.4438,1755174514285.1682
1,2,2,1755174514788,1755174514793.107,1755174514794.4573
1,2,2,1755174515298,1755174515304.5872,1755174515306.187
1,2,2,1755174515809,1755174515811.921,1755174515812.622
1,2,2,1755174516317,1755174516320.632,1755174516321.05
1,2,2,1755174516826,1755174516831.5552,1755174516832.9712
1,2,2,1755174517332,1755174517337.707,1755174517339.217
1,2,2,1755174517843,1755174517849.5989,1755174517851.3323
1,2,2,1755174518353,1755174518357.323,1755174518358.065
1,2,2,1755174518858,1755174518864.32,1755174518865.849
1,2,2,1755174519365,1755174519371.088,1755174519372.58
1,2,2,1755174519874,1755174519878.992,1755174519880.0042
1,2,2,1755174520380,1755174520383.97,1755174520384.813
1,2,2,1755174520890,1755174520896.9111,1755174520898.562
1,2,2,1755174521397,1755174521401.3171,1755174521401.8508
1,2,2,1755174521906,1755174521912.664,1755174521914.156
1,2,2,1755174522416,1755174522419.8079,1755174522420.7612
1,2,2,1755174522926,1755174522931.694,1755174522933.274
1,2,2,1755174523433,1755174523438.543,1755174523439.4849
1,2,2,1755174523943,1755174523949.55,1755174523951.1301
1,2,2,1755174524452,1755174524454.721,1755174524455.387
1,2,2,1755174524956,1755174524960.206,1755174524961.051
1,2,2,1755174525466,1755174525472.9863,1755174525474.615
1,2,2,1755174525977,1755174525980.5708,1755174525981.28
1,2,2,1755174526481,1755174526487.021,1755174526488.488
1,2,2,1755174526988,1755174526995.935,1755174526997.934
1,2,2,1755174527498,1755174527501.3298,1755174527501.942
1,2,2,1755174528006,1755174528012.726,1755174528014.272
1,2,2,1755174528514,1755174528520.344,1755174528522.004
1,2,2,1755174529025,1755174529031.34,1755174529032.882
1,2,2,1755174529533,1755174529538.083,1755174529539.571
1,2,2,1755174530043,1755174530047.894,1755174530048.71
1,2,2,1755174530554,1755174530560.1567,1755174530561.5488
1,2,2,1755174531066,1755174531071.5242,1755174531073.054
1,2,2,1755174531576,1755174531578.732,1755174531579.37
1,2,2,1755174532084,1755174532088.4092,1755174532089.2422
1,2,2,1755174532594,1755174532599.6191,1755174532601.1191
1,2,2,1755174533105,1755174533110.302,1755174533111.775
1,2,2,1755174533611,1755174533617.664,1755174533619.2798
1,2,2,1755174534122,1755174534125.021,1755174534125.718
1,2,2,1755174534630,1755174534637.6572,1755174534639.2441
1,2,2,1755174535140,1755174535143.883,1755174535144.765
1,2,2,1755174535645,1755174535647.991,1755174535648.6567
1,2,2,1755174536148,1755174536155.946,1755174536157.574
1,2,2,1755174536661,1755174536667.695,1755174536669.6802
1,2,2,1755174537173,1755174537178.421,1755174537179.925
1,2,2,1755174537680,1755174537685.9993,1755174537687.5479
1,2,2,1755174538188,1755174538194.039,1755174538195.38
1,2,2,1755174538699,1755174538705.228,1755174538706.6738
1,2,2,1755174539210,1755174539215.393,1755174539216.679
1,2,2,1755174539720,1755174539726.096,1755174539727.541
1,2,2,1755174540227,1755174540233.6562,1755174540235.281
1,2,2,1755174540739,1755174540745.625,1755174540747.2651
1,2,2,1755174541246,1755174541249.924,1755174541250.5972
1,2,2,1755174541755,1755174541757.911,1755174541758.988
1,2,2,1755174542262,1755174542268.0251,1755174542269.534
1,2,2,1755174542773,1755174542778.686,1755174542779.719
1,2,2,1755174543280,1755174543283.7178,1755174543284.4548
1,2,2,1755174543789,1755174543795.245,1755174543796.5078
1,2,2,1755174544296,1755174544303.652,1755174544305.255
1,2,2,1755174544809,1755174544814.207,1755174544815.414
1,2,2,1755174545316,1755174545321.6309,1755174545322.8582
1,2,2,1755174545826,1755174545831.0771,1755174545832.274
